file,arm,whose,succ,pct,nontrivial,meanfinal,wall,guard,episodes,budget,goal,succ_only,adapter,ckpt
exp_authors/realenv_plan_authors_cem_report.txt,cem,ours,42/50,84.0,83.3%,25.29,38.7,0.012,50,50,frame 25,no,no,?
exp_authors/realenv_plan_authors_random_report.txt,cem,ours,9/50,18.0,14.6%,46.98,0.1,0.012,50,50,frame 25,no,no,?
exp_authors_100/realenv_plan_authors_cem_report.txt,cem,ours,6/50,12.0,12.0%,122.52,53.8,0.012,50,50,frame 100,no,no,?
exp_balanced_wall/realenv_plan_cem_report.txt,cem,ours,131/220,59.5,59.5%,36.94,80.6,0.013,220,50,frame 100,no,no,ckpt_best.pt
exp_balanced_wall/realenv_plan_random_report.txt,random,ours,0/220,0.0,0.0%,116.53,0.3,0.013,220,50,frame 100,no,no,ckpt_best.pt
exp_offset100/realenv_plan_cem_report.txt,cem,ours,24/50,48.0,48.0%,43.16,20.2,0.013,50,50,frame 100,no,no,ckpt_best.pt
exp_offset100/realenv_plan_random_report.txt,random,ours,0/50,0.0,0.0%,111.07,0.1,0.013,50,50,frame 100,no,no,ckpt_best.pt
exp_phase2_recal/realenv_plan_cem_report.txt,cem,ours,10/50,20.0,20.0%,116.64,64.1,0.009,50,50,frame 100,no,no,ckpt_best_recal.pt
exp_phase2_recal/realenv_plan_random_report.txt,random,ours,0/50,0.0,0.0%,111.07,0.1,0.009,50,50,frame 100,no,no,ckpt_best_recal.pt
exp_phase2_recal_25/realenv_plan_cem_report.txt,cem,ours,47/50,94.0,93.8%,19.19,31.6,0.009,50,50,frame 25,no,no,ckpt_best_recal.pt
exp_r0_short/realenv_plan_cem_report.txt,cem,ours,31/50,62.0,62.5%,36.87,41.5,0.004,50,50,frame 25,no,no,ckpt_recal.pt
exp_randstart_authors/realenv_plan_authors_cem_report.txt,cem,authors,5/50,10.0,10.0%,125.87,143.3,0.012,50,150,frame 100,no,no,authors-spec
exp_receding1/realenv_plan_cem_report.txt,cem,ours,13/50,26.0,22.9%,35.68,84.5,0.013,50,50,frame 25,no,no,ckpt_best.pt
exp_ref_authors_repeat/realenv_plan_authors_cem_report.txt,cem,authors,5/50,10.0,10.0%,125.87,149.3,0.012,50,150,frame 100,no,no,authors-spec
exp_ref_p2/realenv_plan_cem_report.txt,cem,ours,13/50,26.0,26.0%,108.82,138.9,0.009,50,150,frame 100,no,no,ckpt_best_recal.pt
