======================================================================
REAL-ENVIRONMENT PLANNER EVAL (CEM)  --  phase2_dense_reference_phase2_dense_reference_seed0_20260727_115632
======================================================================
  loader convention (manifest): dense=True imagenet=True zscore=True
  ADAPTER ACTIVE: pixels ImageNet, actions 2 -> 10 by repeat + z-score, history_size 3
  planner action space pinned to 2-D (the environment's); the adapter widens each action to the model's 10-D input
model: vit at 224px (ckpt_best_recal.pt, epoch field 9)

domain guard (precondition):
  paired ||z_real - z_env|| median over 10 frames: 0.009 (threshold 1.0) -> pass

episodes: 50 sampled (seed 42); start = episode frame 0; goal = 100 frames later in the same episode

fitting position probe on 400 rendered positions
  probe fit R^2 0.9994 (in-sample), mean abs error 0.68 arena units
  ep  1/50 (# 4022): REACHED in 48 steps, final dist   10.4, start-goal  105.5
  ep  2/50 (# 5113): REACHED in 24 steps, final dist   13.2, start-goal  139.2
  ep  3/50 (# 4514): missed  in 150 steps, final dist   27.1, start-goal  118.6
  ep  4/50 (#  925): REACHED in 28 steps, final dist   14.1, start-goal   86.8
  ep  5/50 (# 9999): REACHED in 33 steps, final dist   15.6, start-goal  169.8
  ep  6/50 (# 9702): REACHED in 47 steps, final dist   14.0, start-goal   72.2
  ep  7/50 (# 6399): REACHED in 47 steps, final dist   12.1, start-goal   84.7
  ep  8/50 (# 7000): REACHED in 24 steps, final dist   15.2, start-goal   87.7
  ep  9/50 (# 2745): REACHED in 47 steps, final dist   15.1, start-goal  120.7
  ep 10/50 (# 4482): REACHED in 47 steps, final dist   12.7, start-goal  164.1
  ep 11/50 (# 3564): REACHED in 25 steps, final dist   11.3, start-goal  129.1
  ep 12/50 (# 6770): missed  in 150 steps, final dist   49.5, start-goal   71.0
  ep 13/50 (# 4327): REACHED in 23 steps, final dist   10.8, start-goal  103.6
  ep 14/50 (#  701): REACHED in 21 steps, final dist   13.7, start-goal  113.8
  ep 15/50 (# 7818): REACHED in 24 steps, final dist   12.3, start-goal  123.2
  ep 16/50 (# 5237): REACHED in 22 steps, final dist   12.0, start-goal   96.1
  ep 17/50 (# 4999): REACHED in 24 steps, final dist   10.9, start-goal  133.5
  ep 18/50 (# 7586): missed  in 150 steps, final dist   57.2, start-goal  124.3
  ep 19/50 (# 2002): REACHED in 21 steps, final dist   15.2, start-goal   81.2
  ep 20/50 (# 8359): REACHED in 23 steps, final dist   15.4, start-goal   64.2
  ep 21/50 (# 5542): missed  in 150 steps, final dist   89.2, start-goal   94.9
  ep 22/50 (# 8204): REACHED in 22 steps, final dist   13.4, start-goal   65.5
  ep 23/50 (# 1674): REACHED in 25 steps, final dist   11.5, start-goal  141.0
  ep 24/50 (# 6922): REACHED in 48 steps, final dist   12.9, start-goal  149.0
  ep 25/50 (# 8872): REACHED in 32 steps, final dist   15.5, start-goal  155.0
  ep 26/50 (# 8945): REACHED in 21 steps, final dist   15.2, start-goal   91.6
  ep 27/50 (# 4388): REACHED in 23 steps, final dist   15.9, start-goal  119.6
  ep 28/50 (#  961): REACHED in 22 steps, final dist   14.6, start-goal  121.5
  ep 29/50 (# 8523): REACHED in 18 steps, final dist   15.0, start-goal   49.6
  ep 30/50 (# 9240): missed  in 150 steps, final dist   59.5, start-goal  168.6
  ep 31/50 (# 6291): REACHED in 44 steps, final dist   14.8, start-goal  158.3
