epoch 0: pred 0.69942  bell 14.616  spread 0.66939  R2 0.2346
epoch 1: pred 0.65417  bell 9.614  spread 0.71149  R2 0.4275
epoch 2: pred 0.68688  bell 9.276  spread 0.73279  R2 0.4943
epoch 3: pred 0.79687  bell 13.232  spread 0.74034  R2 0.7071
epoch 4: pred 0.69413  bell 10.999  spread 0.75832  R2 0.8118
epoch 5: pred 0.73818  bell 10.203  spread 0.76636  R2 0.8356
epoch 6: pred 0.73500  bell 12.637  spread 0.72851  R2 0.8678
epoch 7: pred 0.77612  bell 8.838  spread 0.80356  R2 0.8771
epoch 8: pred 0.67760  bell 8.829  spread 0.75856  R2 0.8881
epoch 9: pred 0.56760  bell 8.593  spread 0.70354  R2 0.8791
epoch 10: pred 0.70086  bell 6.994  spread 0.80064  R2 0.8867
epoch 11: pred 0.59538  bell 7.328  spread 0.74353  R2 0.9023
epoch 12: pred 0.69477  bell 9.204  spread 0.77576  R2 0.9103
epoch 13: pred 0.74156  bell 8.414  spread 0.77766  R2 0.8952
epoch 14: pred 0.63425  bell 7.125  spread 0.75011  R2 0.9059
epoch 15: pred 0.66587  bell 7.457  spread 0.78255  R2 0.8859
epoch 16: pred 0.67367  bell 8.596  spread 0.74081  R2 0.8859
epoch 17: pred 0.58849  bell 6.720  spread 0.74533  R2 0.9052
epoch 18: pred 0.59723  bell 4.872  spread 0.78011  R2 0.8986
epoch 19: pred 0.57527  bell 6.833  spread 0.74386  R2 0.9060
epoch 20: pred 0.62125  bell 8.041  spread 0.74393  R2 0.8958
epoch 21: pred 0.63683  bell 6.688  spread 0.76281  R2 0.8881
epoch 22: pred 0.68944  bell 6.928  spread 0.79839  R2 0.8904
epoch 23: pred 0.67111  bell 7.443  spread 0.77089  R2 0.8950
epoch 24: pred 0.62697  bell 6.874  spread 0.77037  R2 0.8865
epoch 25: pred 0.60908  bell 7.684  spread 0.73748  R2 0.8748
epoch 26: pred 0.63565  bell 5.838  spread 0.79255  R2 0.8950
epoch 27: pred 0.61946  bell 7.166  spread 0.75735  R2 0.8849
epoch 28: pred 0.61411  bell 5.735  spread 0.77567  R2 0.8941
epoch 29: pred 0.60809  bell 6.116  spread 0.76382  R2 0.8817
epoch 30: pred 0.52173  bell 6.239  spread 0.71668  R2 0.8973
epoch 31: pred 0.58932  bell 4.972  spread 0.77464  R2 0.8733
wrote runs/toy_lewm_toy_lewm_seed0_20260716_130514
